Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Eastern Mediterranean, 0.7406142764453023, 0.9962403544018259, 0.67659213122589, 0.9385181296360995, 0.67659213122589, 1.5406936844200878, 17.048181818181817
South-East Asia, 0.1253449643015524, 0.9766116412805055, 0.041827797943688294, 0.663188175324825, 0.041827797943688294, 12.927803059415833, 31.314285714285713
Americas+South-East Asia, 0.9569068444337276, 0.7318764605161375, 0.45504476912332725, 0.24118316620591085, 0.45504476912332725, 4.171334477235206, 17.053333333333335
South-East Asia+Western Pacific, 0.8231484128274982, 0.7895464141654014, 0.9991921807695562, 0.8522948017737256, 0.9991921807695562, 9.758383128690404, 18.248666666666672
Africa+South-East Asia, 5.74145523457581e-07, 0.585924049715173, 1.41445202661572e-07, 0.1600985605498293, 1.41445202661572e-07, 15.240264264403624, 34.296944444444456
Americas+Eastern Mediterranean, 0.4987239369987777, 0.6433345917606677, 0.09523065312871237, 0.17103074927934003, 0.09523065312871237, 2.777067245122147, 14.730465116279069
Europe+South-East Asia, 0.005902567282181748, 0.9505108368097642, 0.02657810197496835, 0.681172349576902, 0.02657810197496835, 3.6423019154957483, 13.650227272727273
Eastern Mediterranean+Europe, 0.006367592493167429, 0.6099232247962931, 0.022067746086219198, 0.3110952063003999, 0.022067746086219198, 4.712460555987734, 11.852916666666667
Western Pacific, 0.8069024295464713, 0.6622986121054129, 0.5879490073647047, 0.8059912068046255, 0.5879490073647047, 4.125138663511484, 14.272173913043478
Europe, 0.00021327307901053416, 0.7826173094378069, 0.0015383039066336757, 0.7942036279240354, 0.0015383039066336757, 8.316658755815553, 10.308378378378377
Africa+Eastern Mediterranean, 9.048859623594918e-05, 0.8556682666846451, 0.00040249241880463416, 0.6979071460817605, 0.00040249241880463416, 6.659683531875835, 30.075499999999998
Eastern Mediterranean+South-East Asia, 0.3092338292222194, 0.8080043324429659, 0.5582921287730753, 0.8215066787759475, 0.5582921287730753, 1.4963517314040402, 22.596111111111114
Africa+Western Pacific, 0.004093438080900125, 0.9770578177736836, 0.012400499663511644, 0.7911996256867833, 0.012400499663511644, 6.560489107627461, 25.841346153846157
Africa, 2.456010245177609e-07, 0.3580958287377942, 5.32722200019542e-07, 0.34982650212183275, 5.32722200019542e-07, 17.0490345151166, 35.016896551724145
Europe+Western Pacific, 0.005849860638514337, 0.7326911583845439, 0.008510484747376368, 0.7960875246052919, 0.008510484747376368, 7.454091906226678, 11.827833333333333
Americas+Europe, 0.013154143049988631, 0.28681135741194175, 0.029257162194695097, 0.2478439300286448, 0.029257162194695097, 6.278882193218754, 11.989710144927534
Africa+Europe, 0.8642760715268496, 0.41972935962978286, 0.3301807281341481, 0.6041024041612205, 0.3301807281341481, 2.7249633176709303, 21.165151515151514
Africa+Americas, 0.03310584430812469, 0.9997375780929393, 0.05104633809381798, 0.39170587969416637, 0.05104633809381798, 0.29157430548931274, 23.956885245901642
Eastern Mediterranean+Western Pacific, 0.880423575145749, 0.9627775927678333, 0.3609546525540046, 0.5396168280412994, 0.3609546525540046, 2.169178258835178, 15.170294117647058
Americas+Western Pacific, 0.3890243407981401, 0.9160398594881123, 0.12604631059681126, 0.13321663607262113, 0.12604631059681126, 4.4255784548352, 14.075272727272727
Americas, 0.37037744858875965, 0.8607316514100815, 0.0997492758569366, 0.2917002772530568, 0.0997492758569366, 4.620856192654607, 13.933750000000002

Proxy-Score (PCC): (-0.8259023842254052, 6.605949935215619e-36)
Proxy-Score Sample: 0.9047619047619048
Proxy-Score Modified Sample: 1.0
Proxy-Score Total: 0.9523809523809523

Modified is Improvement (Proxy): 0.8095238095238095
Modified is Improvement (Original): 0.9047619047619048

Representativeness of Initial Sample: 0.21346959232020404

Avg. Mean (Sample): 19.448777344043904
