Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Americas+Europe, 2.237273783600724e-05, 0.049017704824615316, 4.465373451556509e-06, 0.018558474767129574, 4.465373451556509e-06, 4.097252985503303, 77.11867469879516
Eastern Mediterranean+South-East Asia, 0.137053841751117, 0.22033217514870695, 0.4707634512983975, 0.7906909852588421, 0.4707634512983975, 0.5762946589324827, 72.97878787878788
Eastern Mediterranean+Western Pacific, 0.6781154144079803, 0.9647009427895261, 0.5875231789180682, 0.8247725749073366, 0.5875231789180682, 0.6082215743315516, 73.08883720930233
South-East Asia, 0.314544359195143, 0.6041403286057576, 0.314544359195143, 0.3931344086410584, 0.314544359195143, 0.2911706991511096, 72.80181818181819
Europe+Western Pacific, 2.0380613949821935e-06, 0.2940878042297055, 0.00236013208817909, 0.4358178006066713, 0.00236013208817909, 5.281708043815627, 76.83394366197182
Americas+Eastern Mediterranean, 0.07084357369209104, 0.20511625425248092, 0.07245634339628715, 0.26468239049207165, 0.07245634339628715, 1.5122896395372578, 74.33563636363635
Africa+Europe, 0.21120719828900447, 0.021594267244695375, 0.1617024850064287, 0.6445317981098881, 0.1617024850064287, 0.3180160225976607, 71.43876288659791
Western Pacific, 0.48934565210441316, 0.8511864865645529, 0.6600638483660194, 0.7460718845524904, 0.6600638483660194, 0.5203239317110047, 73.11142857142859
Europe, 1.92176197177929e-09, 0.5739326204018523, 3.1127569078970296e-06, 0.31350057731496506, 3.1127569078970296e-06, 5.873352706105706, 78.39739999999999
Africa+Western Pacific, 6.59300101679694e-06, 0.2652990676411716, 2.8037638211131366e-08, 0.062470801644408214, 2.8037638211131366e-08, 4.403201528517769, 66.83867647058823
Africa+South-East Asia, 5.928002533295285e-10, 0.06949988755377923, 3.827092576180746e-08, 0.07365231187249421, 3.827092576180746e-08, 4.608632477938059, 65.69844827586206
Eastern Mediterranean, 0.29391832797371753, 0.4640210629427153, 0.9545705846725538, 0.37326202332175473, 0.9545705846725538, 0.4984669236916659, 73.06727272727272
Europe+South-East Asia, 2.0293208281563224e-06, 0.4480123817220011, 0.00014483988502711487, 0.06477147001001682, 0.00014483988502711487, 4.91469856040888, 77.3883606557377
Americas+Western Pacific, 0.03240529246977941, 0.12104802121326719, 0.18579104614611197, 0.3980418031563736, 0.18579104614611197, 2.3254734446594654, 74.37629629629627
Americas, 0.04003820895598342, 0.016642912947774202, 0.012627576403547058, 0.011172596288686276, 0.012627576403547058, 2.7139696062546648, 75.18121212121213
Americas+South-East Asia, 0.06450698848176684, 0.35275238652287133, 0.013157218320814401, 0.12466576188256084, 0.013157218320814401, 1.50249580088267, 74.58636363636363
Africa+Americas, 0.00022889197676834172, 0.052338814705852665, 0.004347743299134343, 0.48404138112041406, 0.004347743299134343, 0.13591478086485154, 68.633375
South-East Asia+Western Pacific, 0.46020709930341963, 0.5840176587696513, 0.3687753265099124, 0.47555409713039976, 0.3687753265099124, 0.33884828429333425, 73.00500000000001
Africa, 5.700329097635404e-12, 0.041729438705233046, 1.5798806707323365e-11, 0.05893536536241062, 1.5798806707323365e-11, 8.498336906729875, 64.03595744680851
Eastern Mediterranean+Europe, 5.0564884500725604e-05, 0.7035427024629961, 0.00017317048628417986, 0.38671450685509057, 0.00017317048628417986, 2.8712946602588403, 76.76874999999997
Africa+Eastern Mediterranean, 7.407843741757958e-07, 0.12908901616360802, 2.0083221565769804e-06, 0.7947041311709675, 2.0083221565769804e-06, 3.254631411165107, 66.91550724637682

Proxy-Score (PCC): (-0.8931263953387837, 4.681170524620584e-65)
Proxy-Score Sample: 0.9047619047619048
Proxy-Score Modified Sample: 0.9047619047619048
Proxy-Score Total: 0.9047619047619048

Modified is Improvement (Proxy): 0.9047619047619048
Modified is Improvement (Original): 0.9047619047619048

Representativeness of Initial Sample: 0.181381474131847

Avg. Mean (Sample): 72.69526234899315
