Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Europe, 0.006751123647806612, 0.624006615123319, 5.683047549476239e-05, 0.00014987064018556762, 5.683047549476239e-05, 8.669356075685268, 3.859183673469389
Eastern Mediterranean, 0.025389606063351278, 0.5464409096012571, 0.0028033080166035562, 0.008971520932864241, 0.0028033080166035562, 8.000010135135138, 4.4350000000000005
Africa, 0.006946318915622252, 0.2813988449929986, 1.633667534584049e-09, 0.0037872468137329918, 1.633667534584049e-09, 12.72610151420318, 24.984782608695657
Europe+Western Pacific, 0.25595160427342, 0.6671682754547613, 1.0458476937591499e-05, 0.0002651461012346257, 1.0458476937591499e-05, 8.489127980824236, 4.257534246575343
Western Pacific, 0.006057425038958342, 0.1644757712301277, 0.0028823842575209646, 0.8077401178739876, 0.0028823842575209646, 7.401693559048158, 5.070833333333334
Americas+Europe, 0.00010387243341569707, 0.7572471343314967, 0.20284765422931494, 0.1742633102899408, 0.20284765422931494, 0.5273589990074221, 9.957142857142852
South-East Asia+Western Pacific, 0.03743812092862564, 0.2991309995528252, 0.19049951002974086, 0.22055709584419447, 0.19049951002974086, 2.6678580094874444, 6.777142857142858
Americas+Western Pacific, 0.6842444010227895, 0.4553667072732944, 0.9241495813530317, 0.534605533867959, 0.9241495813530317, 3.5162146146754374, 13.033898305084744
Africa+Americas, 0.1568779274580896, 0.33015975266614417, 1.0804034733524759e-07, 7.995630319945768e-06, 1.0804034733524759e-07, 7.774394718060414, 22.18024691358025
Africa+Eastern Mediterranean, 0.006216462930147104, 0.011649493235220909, 0.0022690732869538044, 0.4108302875968308, 0.0022690732869538044, 1.000042729872801, 18.75757575757576
Africa+Western Pacific, 0.0004630056859443732, 0.0031322545899504783, 0.0015586797974643796, 0.49928477164470453, 0.0015586797974643796, 3.6608969765308785, 18.157142857142862
Africa+Europe, 0.7964312856747431, 0.3277470502268687, 0.7760391823844861, 0.17151607301744043, 0.7760391823844861, 0.6762180806598472, 14.088421052631578
Eastern Mediterranean+Western Pacific, 0.0023627445304829076, 0.21081131404767806, 8.421320782159292e-05, 0.023424405349303568, 8.421320782159292e-05, 8.00269957811625, 4.781818181818181
Europe+South-East Asia, 0.04683006004054768, 0.494475134798224, 0.00041303469638154233, 0.003480703339932112, 0.00041303469638154233, 7.4155731241413045, 5.07666666666667
Eastern Mediterranean+Europe, 0.25134854801939854, 0.48847155779049467, 2.2382157023326243e-06, 1.5925444751485607e-05, 2.2382157023326243e-06, 8.332732874645192, 4.02608695652174
Americas+Eastern Mediterranean, 0.22105301142658662, 0.3195413045945792, 0.34840387646589854, 0.30556646351659045, 0.34840387646589854, 1.859507441609452, 13.381818181818181
Americas+South-East Asia, 0.0005961897248575321, 0.1054272145791123, 0.00024229616752247107, 0.009946437210007542, 0.00024229616752247107, 2.3516768373045043, 16.58260869565217
South-East Asia, 0.1479732016944153, 0.415882659574371, 0.10721577196912069, 0.7535858169311276, 0.10721577196912069, 1.8160135936331674, 10.499999999999998
Eastern Mediterranean+South-East Asia, 0.5185748499715026, 0.41355343565137614, 0.028092205548722382, 0.10617979520882637, 0.028092205548722382, 6.88980251018853, 6.587096774193548
Africa+South-East Asia, 0.01839995011755491, 0.5083526467558419, 3.9767607862284393e-07, 0.00854088988887225, 3.9767607862284393e-07, 6.067487970011555, 22.189473684210526
Americas, 0.0025432931943103476, 0.6207870594971574, 0.0010911461616361917, 0.03575690469935544, 0.0010911461616361917, 5.979080703374201, 18.494285714285713

Proxy-Score (PCC): (0.13765001174416103, 0.06169841478623811)
Proxy-Score Sample: 0.7142857142857143
Proxy-Score Modified Sample: 0.38095238095238093
Proxy-Score Total: 0.5476190476190477

Modified is Improvement (Proxy): 0.8571428571428571
Modified is Improvement (Original): 0.8095238095238095

Representativeness of Initial Sample: 0.12326961676621184

Avg. Mean (Sample): 11.770417110359114
