Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Africa+Americas, 0.060704881889592, 0.7798463507879498, 0.0006783145095143883, 0.17404995013973168, 0.0006783145095143883, 5.254374098763634, 70.93939393939394
Americas+Western Pacific, 0.9998321571826392, 0.8664814380674911, 0.9535200947436833, 0.9994033968350358, 0.9535200947436833, 2.1423608880009084, 79.3
Eastern Mediterranean, 0.5115206697960579, 0.8951190874353732, 0.39507903630995767, 0.2500888341200165, 0.39507903630995767, 2.574678259593668, 83.33333333333333
Europe, 0.17763141927328086, 0.33250597901270595, 0.0010491932586207398, 0.0074281705243745, 0.0010491932586207398, 10.466449884195114, 91.39622641509433
Eastern Mediterranean+Western Pacific, 0.8335694085410135, 0.6171778611852078, 0.7854845432626407, 0.32346004855589583, 0.7854845432626407, 2.065417246082035, 82.2127659574468
South-East Asia, 0.9077574917391201, 0.9999631071661139, 0.9530286315151146, 0.9448125012587294, 0.9530286315151146, 4.615641954988789, 85.36363636363636
Americas+Eastern Mediterranean, 0.9158324521523118, 0.9948717867888395, 0.9795690357948781, 0.9999924032288269, 0.9795690357948781, 0.9125802755550438, 79.89090909090909
Africa+Europe, 0.9973819416862311, 0.8931889325224376, 0.9998950943718329, 0.6779622702554453, 0.9998950943718329, 0.5053221011855271, 80.96470588235294
Africa+South-East Asia, 0.06365590033616253, 0.9249916658838215, 0.0005005312105735849, 0.06398794188071, 0.0005005312105735849, 6.05019920471095, 69.23255813953489
Africa+Western Pacific, 0.40422242688216936, 0.998154891847096, 0.01306831061583047, 0.4884473570317608, 0.01306831061583047, 7.6969757270429255, 71.58620689655173
Eastern Mediterranean+South-East Asia, 0.44090759588596473, 0.5968485620995236, 0.7186241624345542, 0.7296423934226166, 0.7186241624345542, 2.896532635272493, 84.03125
Eastern Mediterranean+Europe, 0.567646933031585, 0.7024422730100757, 0.0075837467397011915, 0.0025487257024737753, 0.0075837467397011915, 6.743119237031252, 89.10810810810811
Americas+Europe, 0.49735302457284847, 0.5615496416908881, 0.10202721663078729, 0.14469363519550427, 0.10202721663078729, 4.207339785173076, 86.06896551724138
Americas, 0.9404882657933167, 0.9995801375138993, 0.5975131955644478, 0.8107602008023328, 0.5975131955644478, 2.985093035288301, 77.76470588235294
South-East Asia+Western Pacific, 0.4000214504652636, 0.8065788860492125, 0.9990174706348477, 0.9972965259610489, 0.9990174706348477, 4.2373566448292195, 82.51351351351352
Western Pacific, 0.4536968205242451, 0.7570230848877231, 0.9736586982078416, 0.9835656418939505, 0.9736586982078416, 1.1302064813714026, 81.3076923076923
Americas+South-East Asia, 0.9988568711559322, 0.9891309685605789, 0.7423607511538153, 0.7068643528309194, 0.7423607511538153, 0.640376418960841, 79.62222222222222
Africa, 0.003583892541478395, 0.8722641076472143, 2.05665267832833e-05, 0.07620957533640904, 2.05665267832833e-05, 16.852636066705188, 63.6875
Africa+Eastern Mediterranean, 0.0669597741371818, 0.9617726325182899, 0.005558448630144319, 0.24950529747370054, 0.005558448630144319, 4.723653597612341, 71.47169811320755
Europe+South-East Asia, 0.19680925065097787, 0.43597759461841046, 0.006495738239932547, 0.022013740359170364, 0.006495738239932547, 9.30664637515676, 90.359375
Europe+Western Pacific, 0.14667689226271918, 0.44785839991152554, 0.005830091162225437, 0.013233412377822051, 0.005830091162225437, 9.382115585832736, 88.07594936708861

Proxy-Score (PCC): (0.7487628485883734, 4.465265061326023e-33)
Proxy-Score Sample: 0.6190476190476191
Proxy-Score Modified Sample: 0.8095238095238095
Proxy-Score Total: 0.7142857142857143

Modified is Improvement (Proxy): 0.8095238095238095
Modified is Improvement (Original): 0.6666666666666666

Representativeness of Initial Sample: 0.44002680340560607

Avg. Mean (Sample): 80.39193885950858
