Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
South-East Asia+Western Pacific, 0.10192256053485083, 0.02965707993975264, 0.020538186452268126, 0.47003097841236985, 0.020538186452268126, 124.06516926332368, 183.0
Eastern Mediterranean+Western Pacific, 0.8359761768180916, 0.19594857780229313, 0.87919078428328, 0.8707912447321886, 0.87919078428328, 25.39381682672257, 115.16755102040817
Americas, 0.330543339431025, 0.4049993086169571, 0.0009515139032403308, 0.00763816943615192, 0.0009515139032403308, 74.05240801790806, 32.88333333333333
Europe+Western Pacific, 0.013585727438740314, 0.05397858923610399, 0.03903668322382048, 0.044383473507842885, 0.03903668322382048, 65.4963298221235, 69.91538461538462
Africa, 0.0005741432086471265, 0.100280992803083, 2.4752507032932414e-07, 0.000964423627067279, 2.4752507032932414e-07, 112.97150639077294, 217.87234042553192
Americas+Europe, 0.021695141404646456, 0.08653395911746464, 1.0013249652218725e-05, 6.412345309991796e-05, 1.0013249652218725e-05, 78.84936812807942, 27.622988505747124
Americas+Western Pacific, 0.11344457129430074, 0.034353060378039646, 0.31312906985739264, 0.22930228724674195, 0.31312906985739264, 51.317577445089796, 85.9968253968254
Western Pacific, 0.12467810323610606, 0.0076666890049046366, 0.2588576738370987, 0.9121164587268515, 0.2588576738370987, 49.02650993080947, 156.8148148148148
Africa+Europe, 0.8308942789074766, 0.09536952128963805, 0.9311951712906099, 0.7586005146664281, 0.9311951712906099, 0.946830588379683, 116.9326530612245
Eastern Mediterranean, 0.8203110377092486, 0.49320146553539335, 0.3697128661772052, 0.07330204365103532, 0.3697128661772052, 44.98944589410572, 64.055
Europe, 0.010221746561629219, 0.07009574241561967, 5.4968186622428306e-05, 0.0019411741700012808, 5.4968186622428306e-05, 83.79973665876598, 23.909803921568635
Eastern Mediterranean+South-East Asia, 0.3081620493950148, 0.752210293996546, 0.5940676497194832, 0.6331908069954688, 0.5940676497194832, 5.898307815897567, 125.12757575757576
Americas+South-East Asia, 0.8772861254480384, 0.29806427026481574, 0.22017620934253035, 0.01813989255180859, 0.22017620934253035, 25.308876873540086, 83.0595744680851
Eastern Mediterranean+Europe, 0.09514678639790652, 0.11481836472640639, 0.00022262593386757068, 0.0009044723209984395, 0.00022262593386757068, 61.5515762950153, 36.00835616438356
Africa+Western Pacific, 0.07669054138632803, 0.35023125016319445, 1.4017705789237667e-05, 0.003345891579416005, 1.4017705789237667e-05, 83.36521305099352, 195.59459459459458
South-East Asia, 0.005708146908208311, 0.9963785084474828, 0.001243110386809132, 0.3390435333102986, 0.001243110386809132, 145.42451298701297, 247.27272727272728
Europe+South-East Asia, 0.27062508940566443, 0.016081251967056454, 0.01722455158612901, 0.0015944931307887433, 0.01722455158612901, 39.73086554622833, 63.53870967741936
Americas+Eastern Mediterranean, 0.5351511888609033, 0.35064873289843823, 0.002520988730919771, 0.0008304255509004044, 0.002520988730919771, 56.8978816642285, 44.707068965517244
Africa+Americas, 0.12352625180189136, 0.19673884359525773, 0.15089537339335024, 0.7306100832574568, 0.15089537339335024, 30.628867797255538, 137.63614457831324
Africa+Eastern Mediterranean, 0.008317689199467182, 0.21592728938970396, 0.001058336454610398, 0.208594040589697, 0.001058336454610398, 22.139095171451217, 168.82913043478263
Africa+South-East Asia, 0.00019966431577567167, 0.19355849898703104, 8.889300739944872e-09, 0.00028005549971243937, 8.889300739944872e-09, 123.76387887167091, 223.44827586206895

Proxy-Score (PCC): (0.18562159992023103, 0.009193954297575548)
Proxy-Score Sample: 0.7142857142857143
Proxy-Score Modified Sample: 0.38095238095238093
Proxy-Score Total: 0.5476190476190477

Modified is Improvement (Proxy): 0.5714285714285714
Modified is Improvement (Original): 0.6666666666666666

Representativeness of Initial Sample: 0.18095714524424047

Avg. Mean (Sample): 115.20918347001457
