Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
South-East Asia+Western Pacific, 0.10192256053485083, 0.02965707993975264, 0.020538186452268126, 0.47003097841236985, 0.020538186452268126, 127.97904362144097, 183.0
Eastern Mediterranean+Western Pacific, 0.8359761768180916, 0.19594857780229313, 0.87919078428328, 0.6510939089021659, 0.87919078428328, 25.558510294667556, 115.16755102040817
Americas, 0.330543339431025, 0.34092272765866516, 0.0009515139032403308, 0.00763816943615192, 0.0009515139032403308, 74.38678978428973, 32.88333333333333
Europe+Western Pacific, 0.013585727438740314, 0.07660210325957018, 0.03903668322382048, 0.01481219329585759, 0.03903668322382048, 65.50006132900182, 69.91538461538462
Africa, 0.0005741432086471265, 0.100280992803083, 2.4752507032932414e-07, 0.0008007385649627663, 2.4752507032932414e-07, 113.91379116982309, 217.87234042553192
Americas+Europe, 0.021695141404646456, 0.08653395911746464, 1.0013249652218725e-05, 0.0004185574556292426, 1.0013249652218725e-05, 78.43649826862926, 27.622988505747124
Americas+Western Pacific, 0.11344457129430074, 0.08880318355876071, 0.31312906985739264, 0.22930228724674195, 0.31312906985739264, 50.54287644233273, 85.9968253968254
Western Pacific, 0.12467810323610606, 0.0076666890049046366, 0.2588576738370987, 0.9121164587268515, 0.2588576738370987, 43.555564251797264, 156.8148148148148
Africa+Europe, 0.8308942789074766, 0.09536952128963805, 0.9311951712906099, 0.7157501263786119, 0.9311951712906099, 1.5622124336547358, 116.9326530612245
Eastern Mediterranean, 0.8203110377092486, 0.49320146553539335, 0.3697128661772052, 0.07330204365103532, 0.3697128661772052, 42.97007652347666, 64.055
Europe, 0.010221746561629219, 0.07009574241561967, 5.4968186622428306e-05, 0.00035159687533958817, 5.4968186622428306e-05, 83.81923037420087, 23.909803921568635
Eastern Mediterranean+South-East Asia, 0.3081620493950148, 0.752210293996546, 0.5940676497194832, 0.6331908069954688, 0.5940676497194832, 6.136333787945944, 125.12757575757576
Americas+South-East Asia, 0.8772861254480384, 0.29806427026481574, 0.22017620934253035, 0.01813989255180859, 0.22017620934253035, 26.044733160571482, 83.0595744680851
Eastern Mediterranean+Europe, 0.09514678639790652, 0.11481836472640639, 0.00022262593386757068, 0.0001306625182864174, 0.00022262593386757068, 60.812090707012814, 36.00835616438356
Africa+Western Pacific, 0.07669054138632803, 0.35023125016319445, 1.4017705789237667e-05, 0.003345891579416005, 1.4017705789237667e-05, 84.81200002089615, 195.59459459459458
South-East Asia, 0.005708146908208311, 0.9963785084474828, 0.001243110386809132, 0.3390435333102986, 0.001243110386809132, 142.59474608724628, 247.27272727272728
Europe+South-East Asia, 0.27062508940566443, 0.016081251967056454, 0.01722455158612901, 0.0006031829114024889, 0.01722455158612901, 41.47333939252488, 63.53870967741936
Americas+Eastern Mediterranean, 0.5351511888609033, 0.35064873289843823, 0.002520988730919771, 0.0021757322197201168, 0.002520988730919771, 56.71100163981038, 44.707068965517244
Africa+Americas, 0.12352625180189136, 0.19673884359525773, 0.15089537339335024, 0.7306100832574568, 0.15089537339335024, 30.179133773735316, 137.63614457831324
Africa+Eastern Mediterranean, 0.008317689199467182, 0.21592728938970396, 0.001058336454610398, 0.208594040589697, 0.001058336454610398, 21.58351094436408, 168.82913043478263
Africa+South-East Asia, 0.00019966431577567167, 0.19355849898703104, 8.889300739944872e-09, 0.00028005549971243937, 8.889300739944872e-09, 124.67684972654924, 223.44827586206895

Proxy-Score (PCC): (0.18562159992023103, 0.009193954297575548)
Proxy-Score Sample: 0.7142857142857143
Proxy-Score Modified Sample: 0.42857142857142855
Proxy-Score Total: 0.5714285714285714

Modified is Improvement (Proxy): 0.5714285714285714
Modified is Improvement (Original): 0.5714285714285714

Representativeness of Initial Sample: 0.18095714524424047

Avg. Mean (Sample): 115.20918347001457
