Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Americas+Western Pacific, 0.1361950424591991, 0.03515427074312705, 0.31318574490862305, 0.07370478026997163, 0.31318574490862305, 31976.236242418003, 341519.98148148146
Europe+South-East Asia, 0.4485612641792044, 0.4694596634686252, 0.1620255910104783, 0.508371670125213, 0.1620255910104783, 55996.39934403461, 290740.0655737705
Africa+Western Pacific, 0.8381404751525128, 0.1393085621042699, 0.5706065107838671, 0.09357939789130898, 0.5706065107838671, 83761.36759099358, 232159.3088235294
Eastern Mediterranean, 0.3577094722199107, 0.6934752082784021, 0.9267729239430792, 0.1667493510045509, 0.9267729239430792, 97404.91886180977, 125258.42857142857
Americas+Europe, 0.9874292953525442, 0.13333052772177778, 0.7659312111342714, 0.5281525961110936, 0.7659312111342714, 67441.91668436088, 167822.43373493975
Americas+South-East Asia, 0.6411423685620836, 0.1588518795986077, 0.6930762959769458, 0.3232015647982106, 0.6930762959769458, 242556.87081933656, 344827.5909090909
Eastern Mediterranean+South-East Asia, 0.02503355749244729, 0.7083161511505855, 0.3050923746131483, 0.2591808531447948, 0.3050923746131483, 14640.622592651373, 378736.71875
Africa+South-East Asia, 0.9761732492165704, 0.3363213670740013, 0.9279353386673366, 0.20305132692587957, 0.9279353386673366, 192749.97305288288, 215813.24137931035
Eastern Mediterranean+Europe, 0.31285878988480564, 0.3374164543546675, 0.26216449530480657, 0.27379424612846814, 0.26216449530480657, 95383.19299812513, 153189.05633802817
South-East Asia+Western Pacific, 0.25572964150895394, 0.046150758345444354, 0.22738002851254224, 0.040407924617841706, 0.22738002851254224, 705015.4758540269, 695248.78125
Africa+Americas, 0.35354016069978966, 0.06924528766937643, 0.3773291086768039, 0.05825991991551083, 0.3773291086768039, 88881.76768973365, 108891.075
Americas+Eastern Mediterranean, 0.9501669022577557, 0.34047054023564427, 0.8398157093700347, 0.3274220053009014, 0.8398157093700347, 88680.93296421564, 153957.27777777778
Western Pacific, 0.15912295255022912, 0.05049859696528036, 0.3031737656089172, 0.09838641088415945, 0.3031737656089172, 366405.853602866, 607562.5238095238
Africa, 0.4157769691702996, 0.23711895958831264, 0.2792425746381898, 0.051322295840068755, 0.2792425746381898, 164112.11915440427, 64425.95744680851
Americas, 0.38598602206080534, 0.10995581187074821, 0.682729962339208, 0.11811559004675998, 0.682729962339208, 52580.604193620355, 172220.18181818182
Africa+Eastern Mediterranean, 0.8300171305079768, 0.3716380323595818, 0.6175445485826742, 0.1301614418400644, 0.6175445485826742, 127549.00138754268, 83212.45588235294
South-East Asia, 0.02527472539171194, 0.5167124472365772, 0.020212181627964565, 0.4143682715130721, 0.020212181627964565, 776008.2305915982, 862649.8181818182
Europe, 0.42687692565863977, 0.33649133754054994, 0.11491798736817027, 0.2542852114064479, 0.11491798736817027, 71597.85638253202, 164919.92
Africa+Europe, 0.738691479805377, 0.14801256078184755, 0.6906465312562654, 0.2587479182575966, 0.6906465312562654, 117097.88911808138, 116226.96907216495
Eastern Mediterranean+Western Pacific, 0.5305291785645062, 0.1435512661089169, 0.8824675059342935, 0.1560198880926177, 0.8824675059342935, 15310.987085013214, 366410.4761904762
Europe+Western Pacific, 0.995819178296218, 0.3007882898247498, 0.7514008762013478, 0.5654384364927144, 0.7514008762013478, 18859.54210108507, 295842.38028169016

Proxy-Score (PCC): (0.9774648995807104, 3.2652660549666867e-124)
Proxy-Score Sample: 0.9523809523809523
Proxy-Score Modified Sample: 0.9523809523809523
Proxy-Score Total: 0.9523809523809523

Modified is Improvement (Proxy): 0.23809523809523808
Modified is Improvement (Original): 0.19047619047619047

Representativeness of Initial Sample: 0.5101738698313794

Avg. Mean (Sample): 282934.98296535114
